,日期,评论
0,2019/12/15,星期一我的股票要涨停了，你们的不知道会不会涨！
1,2019/12/15,重磅利好，玩股票的都发财
2,2019/12/15,2014年底大牛发动和今天差不多
3,2019/12/15,机构一般都会反着来。
4,2019/12/15,注意要兑现业绩了
5,2019/12/15,对
6,2019/12/15,利好纺织，染料行业
7,2019/12/15,不一定啊，突发利好 和 利好兑现 这两个还是有本质区别的
8,2019/12/15,牛市已经来临
9,2019/12/15,全国股民都兴奋着
10,2019/12/15,心急吃不了热豆腐
11,2019/12/15,22万资金，抱大腿
12,2019/12/15,能中签的人运气一般都不差
13,2019/12/15,但愿周一能开吧
14,2019/12/15,借我点呗
15,2019/12/15,金顶确实爆发了
16,2019/12/15,厉害了
17,2019/12/15,厉害了
18,2019/12/15,厉害啦，下周一继续
19,2019/12/15,就怕不飞
20,2019/12/15,该换名字了不然宝马要归他人了
21,2019/12/15,我后悔没买基金，股票没用，涨的都是别人的
22,2019/12/15,牛市的开启必然是绝大部分人放弃筹码的时候，看下周尔三开始地方给你们看
23,2019/12/15,2019
24,2019/12/15,你不错嘛，可以啦
25,2019/12/15,进出口贸易来料如工，稀土类利好
26,2019/12/15,nb
27,2019/12/15,还可以顶住下跌2天
28,2019/12/15,超级大长牛来了
29,2019/12/15,牛市来了礼拜一全部涨停
30,2019/12/15,小刚，你不是跟我保证你不炒股的吗
31,2019/12/15,健康牛市行情开始
32,2019/12/15,图发来见证一下
33,2019/12/15,兄弟，此股换手不够，主力也是举步维艰，没戏，不信你可以看看002810的走势，站上高点，一往直前，这才是主力深度介入而进行主升浪。000059只能慢慢熬，等到资金去发现，至少压力位还没有突破，坚决不碰
34,2019/12/15,漫步者还是算了乌鸦齐飞
35,2019/12/15,新华网可长线持有。
36,2019/12/15,此垃圾股等最后补涨，现在不上主力的菜
37,2019/12/15,好
38,2019/12/15,长期在底部横盘的股票000059值得拥有！
39,2019/12/15,长期在底部横盘的股票000059值得拥有！
40,2019/12/15,猪肉都跌价了还温氏
41,2019/12/15,建议周末也开盘吧，工作日延长到晚上10点
42,2019/12/15,利好已经兑现了
43,2019/12/15,不错有预告片
44,2019/12/15,看不懂
45,2019/12/15,晚上不交易
46,2019/12/15,图片评论
47,2019/12/15,不太可能，板块有5个点就飞了
48,2019/12/15,为期一天的牛市已结束。看周五晚上的汇率就清楚
49,2019/12/15,涨到700元就宇宙第一市值了
50,2019/12/15,38.38 你更敢做梦啊
51,2019/12/15,31.64 你真敢想
52,2019/12/15,是多大的利好，看美欧股周五走势就知道。
53,2019/12/15,瘟神发言，绿一波
54,2019/12/15,买进不是应该是红色吗
55,2019/12/15,好的平台值得选择！
56,2019/12/15,牛市来吧！今天能睡个好觉了
57,2019/12/15,下周宝能宣布增持，又是8个涨停板
58,2019/12/15,市盈率不高于50％再可以分拆上市这样比较实际。
59,2019/12/15,https://gbres.dfcfw.com/Files/picture/20191213/AE973D11DCAF667596FAA3FC4A6F48F8_w1080h2160.jpg
60,2019/12/15,牛逼了
61,2019/12/15,
62,2019/12/15,还应加上一条，分拆公司必须带走大股东（上市公司）原股本的部分股本，降低原上市公司的股本。
63,2019/12/15,辽宁成大子公司成大生物2010年谋划分拆创业板上市，但受限国家分拆上市限制，2018年初谋划分拆港交所上市，且已经获得证监会批准和港交所的上市聆听程序只差上市发行最后一步，但该公司基于香港金融环境、又恰逢科创板的推出机遇和科创板对生物制药公司的重点惠顾，故其为了成大生物上市利益最大化，临时主动取消香港上市的申请，如今分拆上市规则正式出台，成大生物对照规则全部符合条件，有望成为国内分拆上市第一股！也极大利好其母公司辽宁成大600739！
64,2019/12/15,老师，是不是可以开始数钱了
65,2019/12/15,买了多少宝钢？又被套了多少绿猪？宝钢就算涨到20，也弥补不了绿猪的损失哈
66,2019/12/15,利好网宿科技。
67,2019/12/15,老股民呀
68,2019/12/15,牛市来了最厉害的就是券商，因为人人都在买卖。
