,日期,股票代码,评论
0,2019/12/16,538,　　A股三大股指今日集体收涨，其中沪指收盘上涨0.56%，收报2984.39点；深成指上涨1.54%，收报10158.24点；创业板指上涨1.42%，收报1780.33点。两市合计成交6226亿元，行业板块呈现普涨态势，科技股与券商股强势领涨。北向资金今日净流入22.56亿元，已经连续23个交易日净流入。(点击查看>>沪深港通资金流)　　 今日消息面：　　 1、央行开展3000亿元1年期MLF操作 中标利率保持3.25%不变　　 2、重磅！中美就第一阶段经贸协议文本达成一致　　 3、国务院关税税则委员会：暂不实施对原产于美国的部分进口商品加征关税措施　　 4、统计局：11月份规模以上工业增加值增长6.2%　　 5、统计局：11月份商品住宅销售价格走势总体平稳　　 6、A股有了慢牛味道？174股年内翻倍 去年仅有1只！这些机构赚翻 明年这样布局　　 7、年度送转第一例来了！这公司拟10送3转6 影响有多大？　　 8、18万亿险资投资策略正在悄然生变：资金量向个股集中 持仓周期将会更长　　 9、中央经济工作会议两度提“八字方针” 对资本市场意味着什么？　　 10、超级利好！分拆上市正式开启 最强概念股名单出炉！这些股或先尝鲜？(附股)　　对于后市大盘走向，机构纷纷发表看法。　　海通证券：春季行情徐徐展开　　国内宏观政策定调偏暖，中美第一阶段贸易协议文本达成一致，预计月度经济数据趋稳，春季行情徐徐展开。　　上证综指2440点已经开启第六轮牛市，春季行情是牛市3浪向上突破的开始，后续动力：企业利润同比回升和资产配置偏向股市。　　春季行情阶段低估值、高股息的银行地产及有弹性的券商占优，着眼明年全年，利润增速更快的科技和券商更好。　　国泰君安证券：市场有望延续震荡向上格局　　市场有望延续震荡向上格局，建议把握第三胜负手，布局新β行业的机会。尽管3大担忧均有所缓解，市场向上突破。但机构重仓的龙头白马仍面临浮盈和估值压力，市场短期内大幅上涨难度较大。　　建议把握绝对收益，布局新“β”行业：核心资产中的银行、建材，以及困境反转潜力大的传媒、汽车。银行板块受益于盈利周期见底带来的资产质量改善；建材行业受益于逆周期调控政策，以及行业格局优化下高盈利持续性强，传媒受益于政策边际改善及需求复苏，汽车受益于消费促进政策预期及行业出清后的景气复苏。　　中信建投证券：2020年将呈现逐级走高的慢牛行情　　与2019年在指数大幅震荡的情况下呈现出结构性牛市不同，2020年市场可能会呈现出窄幅震荡，逐级走高的慢牛行情，形成一种曲径通幽，渐入佳境的状态。　　利率下降、逆周期调节和资本市场改革是2020年的三大主线。在利率逐步下降的过程中，股票市场估值水平将得到提升，利率下行有利于电子、计算机、通信、传媒等科技行业持续占优；利率下降也有利于融资成本下降，促进先进制造业投资；还对高股息的龙头板块形成吸引力。这是2020年我们建议投资者首先要把握的三个方向。逆周期调节将在2020年的上半年对商品形成一定程度的支撑，相关制造、周期等行业将呈现出一定的阶段性机会。资本市场改革、发展直接融资，投行能力强的头部券商也会表现优异。　　华泰证券：中期内A股运行逻辑大概率进一步回归内部　　12月13日，中美双方达成第一阶段商贸协议。华泰策略认为，此次未加关税是情理之中，美方关税施压空间已显著减小；此次达成协议或略超市场预期，但后续协议的达成门槛大概率上升。　　中期内A股运行逻辑大概率进一步回归内部，继续关注政策支持增大、外部边际减压、“供需共同受益”的设备类企业如工控、锂电设备、半导体设备等。　　兴业证券：外部环境改善，我们正在经历一轮“长牛”　　中美达成第一阶段协议，外部环境较前期明显改善。内部2020年经济工作会议如期召开，稳字当头、改革开放加速、流动性环境灵活适度、高端产业支撑新兴产业和消费“双升级”。　　市场继续沿着此前判断：1)我们正在经历一轮“长牛”，不用过度悲观，把握权益市场由战略防御转向战略进攻机遇期，指数中枢逐级抬升。2)结构性行情逐步拓展，①5G泛化、纵深化，新能源车等大创新方向。②稳增长、低估值方向即核心资产中的周期股，核心资产中的高股息品种。　　安信证券：不确定性降低，市场短期将维持一定热度　　伴随着近期经济增速整体企稳，中央经济工作会议和中美第一阶段商贸协议文本达成一致也都进一步有利于市场的经济预期和风险偏好，市场短期将维持一定热度，机会有望扩散，市场将继续关注成长性行业有没有新的潜在机会。　　另一方面，市场也会对和经济下行相关度较高而此前被很多机构所回避的行业关注。行业重点关注：非银金融、传媒、计算机、新能源汽车、钢铁、商贸零售等，主题建议关注自主可控、国企改革等。　　天风证券：春季躁动前移，2020年主战场仍然在科技板块　　指数逐步具备了一些突破窄幅震荡区间的条件，并且大金融板块很可能成为带动指数冲关的发动机。向前看，春季躁动提前到12月开始的概率也在逐步提升，如果后续经济数据和逆周期调节政策能够配合，那么指数可以高看一线。　　板块上，低估值且与经济预期密切相关的大金融板块可能成为主攻手。另一方面，拉长来看，2020年的主战场仍然在科技板块，敬畏趋势。　　粤开证券：沪指向3300点迈进，布局外围环境受益板块　　稳增长政策预期叠加外围环境向好将助推指数进一步上行，沪指有望冲破3050点平台阻力区域，向3300点前期高点区域迈进，深成指及创业板指在突破9月份以来平台上轨之后，之后有望继续上行，跨年行情有望展开。但同时一月份面临限售股解禁高潮，这也值得投资者有所警惕，整体看当前行情大趋势向上，但过程可能略有反复。　　配置上，建议重点关注受益于中美关系向好受益板块：(1)看好受益于市场风险偏好提升+景气度上行的券商板块。(2)科技依旧是长期看好主线。　　相关报道>>>　　中央经济工作会议释放投资信号盘点：2020年A股行情可期　　重磅利好扑面而来 大盘能不能站上3000点？来看看各大券商怎么说　　重磅利好集中爆发 A股“收官战”全面打响！券商高呼：春季行情已开启 明年迎牛市主升浪！　　雷根资产李金龙：2020年A股上涨空间可期 港股有望迎来投资机遇　　手机炒股选东方财富证券，享万2.5低佣，支持7×24小时在线开户>>>　　(仅供投资者参考，不构成投资建议；股市有风险，投资需谨慎。)
1,2019/12/16,538,晒图以来挣的最多的一天了吧。
2,2019/12/16,538,在A股，一般账户里只有0-50W的人，会天天骂人；50-100W的人，不怎么讲话，会专心研究股市，100W以上的人都会很谦虚，别人问起来都会说，我是菜鸟、不怎么懂。 我刚进股市的时候就很谦虚，后面慢慢开始研究股市，直到现在变的也开始骂人了
3,2019/12/16,538,400家绿的，其中就有我的两家，牛逼了。
4,2019/12/16,538,罗京你变了，变得会赚钱了
5,2019/12/16,538,涨了一天就想回本的有没有
6,2019/12/16,538,掐指一算，今晚大削又该做梦了。。。
7,2019/12/16,538,指数要上3千，超级大牛市要来了！！！
8,2019/12/16,538,牛逼，我终于赚钱了
9,2019/12/16,538,今天没赚钱的好好反思一下
