,日期,评论
0,2019/12/15,牛市来了
1,2019/12/15,上周五的走势已经表现出来了，
2,2019/12/15,唉
3,2019/12/15,双赢
4,2019/12/15,今天 08:51 东方财富Android版中国资本市场正在走向成熟！个股涨跌由市场作决定！发表于: 航天长峰吧阅读 593
5,2019/12/15,轮到中材国际涨了
6,2019/12/15,我还是空仓，这可咋办啊
7,2019/12/15,我想买毛线，不知会不会涨价？
8,2019/12/15,金融股爆发
9,2019/12/15,只要有钱都归你！
10,2019/12/15,利好做出口的汽车零部件公司！
11,2019/12/15,这个消息后，都哪些板块收益，大涨呢
12,2019/12/15,特大利好消息，周一满仓干
13,2019/12/15,江南高纤涨停板
14,2019/12/15,我已经空仓了
15,2019/12/15,感觉周一要冲高回落
16,2019/12/15,汽车零部件利好 妥妥的
17,2019/12/15,我手上有，转让给你啊
18,2019/12/15,下周一开始农业种植，券商，港口，爆发。
19,2019/12/15,利好中广核技
20,2019/12/15,大盘重返3000点。
21,2019/12/15,要过年的节奏，狂欢节吧
22,2019/12/15,不加征关税，请问有哪些板块受益？
23,2019/12/15,晚上能不能在来个区块链特大利好
24,2019/12/15,现在这个局面不怕风险就进，
25,2019/12/15,千股涨停…
26,2019/12/15,别人贪婪时我恐惧，别人恐惧时我贪婪
27,2019/12/15,金融板块下周又要起飞
28,2019/12/15,周一集体涨停，核弹级别利好
29,2019/12/15,不卖，就是不卖
30,2019/12/15,利好天天有！大A要走牛！！
31,2019/12/15,利好落地，周五已提前反应，明天还能继续冲高吧
32,2019/12/15,暂字画重点要考
33,2019/12/15,暂字是重点要考
34,2019/12/15,特大利好，农业板块涨停！
35,2019/12/15,科技股大涨，抢上3000
36,2019/12/15,睡不着
37,2019/12/15,明天股票已经买不到了，坐等看大盘涨停！
38,2019/12/15,券商不涨一切扯淡！
39,2019/12/15,利好汽车零部件
40,2019/12/15,稀土农业涨停！
41,2019/12/15,我也给你
42,2019/12/15,300059起飞
43,2019/12/15,周一高开大涨
44,2019/12/15,为啥加不加征关税农业股都涨呢？这样的思路你能赚到钱吗
45,2019/12/15,明天双11
46,2019/12/15,后天双12
47,2019/12/15,这里什么情况，祖国万岁
48,2019/12/15,后天双13
49,2019/12/15,大后天？
50,2019/12/15,大大后天？
51,2019/12/15,涨？
52,2019/12/15,不是利好小米吗
53,2019/12/15,大盘要起飞了券商必先暴发，每次都是
54,2019/12/15,重大利好
55,2019/12/15,国际贸易板块将崛起
56,2019/12/15,华贸物流
57,2019/12/15,苏澳传感涨停，汽车零部件
58,2019/12/15,低开买进
59,2019/12/15,一个新的时代，一个新的十年，这代人期待的中国红牛市已经来临，崛起，我的国！！！
60,2019/12/15,告诉我哪个是外贸龙头，爷满仓
61,2019/12/15,千股涨停
62,2019/12/15,汽车股
63,2019/12/15,都取消了很多，有些降低了。这次真利好。
64,2019/12/15,都这么兴奋，那我明天就来个高开高走，尾盘跳水吧，做庄真累
65,2019/12/15,前几个月说3000点很难上，其实也不难麻，两天都上去了？
66,2019/12/15,手上的股票加5%的价格转让了
67,2019/12/15,重大利好，千股涨停。
68,2019/12/15,利好纺织，服装，玩具出口
69,2019/12/15,能，我逐渐退出卖给你
70,2019/12/15,钢铁
71,2019/12/15,1000
72,2019/12/15,握手言和！利好消费！汽车块板还会涨！
73,2019/12/15,利好美国汽车进口商国机汽车
74,2019/12/15,看明天了
75,2019/12/15,祖国万岁
76,2019/12/15,好
77,2019/12/15,我的股票能涨5个点就谢天谢地了
78,2019/12/15,沙发
79,2019/12/15,零部件大涨
80,2019/12/15,我先来，重大利好()
81,2019/12/15,利多
82,2019/12/15,强大，压倒性的大胜利，祝贺!
83,2019/12/15,满仓干万通智控
84,2019/12/15,利好股市。
85,2019/12/15,好
86,2019/12/15,利好
87,2019/12/15,重大利好吧！
88,2019/12/15,重大利好
89,2019/12/15,利好
90,2019/12/15,均胜电子涨停
91,2019/12/15,好！很好！和谐才能共赢。
92,2019/12/15,利好
93,2019/12/15,明天冲破3000
94,2019/12/15,周一大涨
95,2019/12/15,期待明天
96,2019/12/15,好了，大盘涨停，恒基一字板！
97,2019/12/15,大盘一字板
98,2019/12/15,好，鼓掌
99,2019/12/15,这才是干货
100,2019/12/15,很好，明天冲3000
101,2019/12/15,好
102,2019/12/15,千股涨停
103,2019/12/15,好
104,2019/12/15,持币观望的韭菜将是未来大盘拉升的主要力量！冲击3042点！周一冲3000点
105,2019/12/15,看下周了
106,2019/12/15,重大利好
107,2019/12/15,大利好
108,2019/12/15,西部牧业周一涨停
109,2019/12/15,会有一个做多窗口了，看好春节前行情！
110,2019/12/15,厉害了
111,2019/12/15,沙发哈
112,2019/12/15,股票卖断货
113,2019/12/15,好好，大国风范
114,2019/12/15,极好
115,2019/12/15,好
116,2019/12/15,这啥意思啊
117,2019/12/15,很好
118,2019/12/15,周一大涨停。
119,2019/12/15,这是要暴涨的节奏？
120,2019/12/15,周末全是利好，看明天大A怎么表演
121,2019/12/15,利好汽车零部件
122,2019/12/15,和谐的信号
123,2019/12/15,千股涨停吧
124,2019/12/15,漂亮，农业股集体涨停，汽车零部件股集体涨停
125,2019/12/15,科技
126,2019/12/15,利好华鑫股份，摩根可以控股了
127,2019/12/15,千股涨停
128,2019/12/15,玩具板块涨停板
129,2019/12/15,平等互利，解决争端。利好经济，利好股市。
130,2019/12/15,一锤定音，扫清做多资金心头的最后一丝疑虑! 牛市正式开启!
131,2019/12/15,重大利好
132,2019/12/15,哎呦，周一千股涨停
133,2019/12/15,已经在行动
134,2019/12/15,利好卧龙地产600173
135,2019/12/15,合作共赢
136,2019/12/15,美也应该取消大部分！
137,2019/12/15,牛皮
138,2019/12/15,千股涨停！！！
139,2019/12/15,好，和则共赢
140,2019/12/15,重大利好千股涨停
141,2019/12/15,利好卧龙地产600173
142,2019/12/15,牛来了
143,2019/12/15,同意
144,2019/12/15,好
145,2019/12/15,互联网金融起飞:赢时胜！
146,2019/12/15,不错
147,2019/12/15,真的要把A股向上调整了吗？
148,2019/12/15,明天高开高走
149,2019/12/15,好
150,2019/12/15,嘿嘿，还好没有卖掉
151,2019/12/15,002486，成本价给你
152,2019/12/15,我手上给你，只要把我亏的7个点补上。
153,2019/12/15,估计周一大盘大涨2%以上
154,2019/12/15,利欧股份，汽车板块涨停
155,2019/12/15,我想还有其他顾虑没
156,2019/12/15,明天你要多少？我全给你
157,2019/12/15,国机汽车 概念龙头
158,2019/12/15,送你两个字
159,2019/12/15,利好大盘一字板
160,2019/12/15,利好中国外运，外贸龙头
161,2019/12/15,明天争夺3000点
162,2019/12/15,最利好知识产权保护板块，该买其中哪支股票呢？我觉得可以闭着眼睛买，当然我会选择龙头新华网，龙二人民网也行。因为我国将进一步加大知识产权保护力度，进一步发挥好知识产权保护作为社会主义市场经济基石、作为创新驱动发展刚需、作为国际贸易标配的重要作用。
163,2019/12/15,利好跨境通
164,2019/12/15,外高桥明天要起飞了，明天还可以买得到吗？
165,2019/12/15,新华新华振兴中华
166,2019/12/15,高开后周五满仓的都给你，放心吧
167,2019/12/15,高开后哪次没给你？
168,2019/12/15,本人郑重声明，为和空仓股友共享牛市，我决定明天减持一半股票给他们。
169,2019/12/15,对，不加曾，我们走大国风范。
170,2019/12/15,估计买不到了，能买到的都是垃圾股
171,2019/12/15,明日大A将会出现千股涨停的奇观
