,日期,评论
0,2019/12/15,好
1,2019/12/15,国机汽车 概念龙头
2,2019/12/15,新华网周线刚刚发出买入信号，符合右侧交易原则。
3,2019/12/15,哈哈賭贏了 上周三就滿倉了，而且是重倉長城證券。
4,2019/12/15,对
5,2019/12/15,3.6白混了
6,2019/12/15,我还想到减持
7,2019/12/15,利好周五兑现，周一谨防冲高回落。切不可追涨，而是考虑着减仓。
8,2019/12/15,买一送一全给你，要不？
9,2019/12/15,大多数股票可能涨停
10,2019/12/15,握手言和
11,2019/12/15,新华新华顶呱呱
12,2019/12/15,牛市第一枪打响！大象起舞搭台小股唱戏！扶稳做好！一路颠簸向上别被震下车了，2020持股以年为单位，否则一年到头又百忙
13,2019/12/15,那就做华贸物流和怡亚通吧
14,2019/12/15,券商拉升早上
15,2019/12/15,我上周超买的就是等你这种后知后觉的来接手
16,2019/12/15,新华新华振兴中华
17,2019/12/15,外高桥明天要起飞了，明天还可以买得到吗？
18,2019/12/15,利好跨境通
19,2019/12/15,最利好知识产权保护板块，该买其中哪支股票呢？我觉得可以闭着眼睛买，当然我会选择龙头新华网，龙二人民网也行。因为我国将进一步加大知识产权保护力度，进一步发挥好知识产权保护作为社会主义市场经济基石、作为创新驱动发展刚需、作为国际贸易标配的重要作用。
20,2019/12/15,明天争夺3000点
21,2019/12/15,利好中国外运，外贸龙头
22,2019/12/15,利好大盘一字板
23,2019/12/15,牛市确立，明天又是大涨，鉴定完毕
24,2019/12/15,涨停板接货怎么样？
25,2019/12/15,看样子不是短期拉升
26,2019/12/15,利好出口企业
27,2019/12/15,大利好
28,2019/12/15,现在虽然不可能大涨，但是对于明年初目前的股票都是低点，个人没本事走动节奏然后跌了就会大骂
29,2019/12/15,利好汽车！！！
30,2019/12/15,
31,2019/12/15,股市牛抬头了，控制不住了
32,2019/12/15,那你这回真是错了，虽然目前不可能大涨，但是明年肯定会有大行情，而不是我们酸的，不会买股票然后赔钱就开始骂
33,2019/12/15,右侧交易新华网利好
34,2019/12/15,中石油应该能买的到
35,2019/12/15,熊市满仓才能赚钱啊
36,2019/12/15,我满仓等跌停，都转让给你吧
37,2019/12/15,看涨
38,2019/12/15,明天利好出尽
39,2019/12/15,你别做梦了，星期一你还想买股票，全部涨停买不进去了你早一点点挂涨停还有希望
40,2019/12/15,哈哈周一會大張嗎？幸好上周四滿倉。而且是是劵商。
41,2019/12/15,我满仓等跌停的，转给你一半仓吧
42,2019/12/15,知识产权保护
43,2019/12/15,华新水泥明天涨停，加油加油加油！
44,2019/12/15,周一大盘估计涨停，可以我空仓，后悔呀
45,2019/12/15,星期一大盘涨停
46,2019/12/15,中信建投重回31.86
47,2019/12/15,送你两个字
